"","P.value_fdr_fisherGreater","n_genelist1","n_genelist2","intersect","percent1","percent2"
"AOCS_Stroma vs AOCS_Tumor",1,461,227,0,0,0
"AOCS_Stroma vs AOCS_Stroma001",0.0000645218409536213,461,978,144,31.24,14.72
"AOCS_Stroma vs AOCS_Tumor001",1,461,1173,0,0,0
"AOCS_Stroma vs MGH_Stroma",5.97191351121978e-26,461,429,122,26.46,28.44
"AOCS_Stroma vs MGH_Tumor",1,461,90,0,0,0
"AOCS_Stroma vs AOCS_C1",1.20995323459772e-36,461,400,133,28.85,33.25
"AOCS_Stroma vs C1vC2",4.05148088950215e-96,461,343,184,39.91,53.64
"AOCS_Stroma vs C1vC4",7.44395546074054e-160,461,821,338,73.32,41.17
"AOCS_Stroma vs C1vC5",8.45112421903741e-62,461,1267,303,65.73,23.91
"AOCS_Stroma vs C2vC4",1.19442979700409e-74,461,384,174,37.74,45.31
"AOCS_Stroma vs C2vC5",0.0649264737755771,461,1157,145,31.45,12.53
"AOCS_Stroma vs C4vC5",1,461,619,58,12.58,9.37
"AOCS_Stroma vs Mes.Imm",5.17671769258293e-60,461,249,127,27.55,51
"AOCS_Stroma vs Mes.Diff",2.02870021386527e-96,461,297,172,37.31,57.91
"AOCS_Stroma vs Mes.Prof",8.04393087725427e-78,461,428,187,40.56,43.69
"AOCS_Stroma vs ImmvDiff",0.00000000000330543838783478,461,165,51,11.06,30.91
"AOCS_Stroma vs ImmvProf",0.000000135781462855987,461,429,83,18,19.35
"AOCS_Stroma vs DiffvProf",1,461,204,10,2.17,4.9
"AOCS_Tumor vs AOCS_Stroma001",1,227,978,0,0,0
"AOCS_Tumor vs AOCS_Tumor001",0.503346419336947,227,1173,68,29.96,5.8
"AOCS_Tumor vs MGH_Stroma",1,227,429,0,0,0
"AOCS_Tumor vs MGH_Tumor",0.0000000000634155056270775,227,90,24,10.57,26.67
"AOCS_Tumor vs AOCS_C1",1,227,400,1,0.44,0.25
"AOCS_Tumor vs C1vC2",1,227,343,2,0.88,0.58
"AOCS_Tumor vs C1vC4",1,227,821,8,3.52,0.97
"AOCS_Tumor vs C1vC5",1,227,1267,20,8.81,1.58
"AOCS_Tumor vs C2vC4",1,227,384,0,0,0
"AOCS_Tumor vs C2vC5",1,227,1157,25,11.01,2.16
"AOCS_Tumor vs C4vC5",1,227,619,31,13.66,5.01
"AOCS_Tumor vs Mes.Imm",1,227,249,6,2.64,2.41
"AOCS_Tumor vs Mes.Diff",1,227,297,5,2.2,1.68
"AOCS_Tumor vs Mes.Prof",1,227,428,6,2.64,1.4
"AOCS_Tumor vs ImmvDiff",1,227,165,2,0.88,1.21
"AOCS_Tumor vs ImmvProf",1,227,429,10,4.41,2.33
"AOCS_Tumor vs DiffvProf",0.386010988998599,227,204,14,6.17,6.86
"AOCS_Stroma001 vs AOCS_Tumor001",1,978,1173,1,0.1,0.09
"AOCS_Stroma001 vs MGH_Stroma",0.0696791384192852,978,429,116,11.86,27.04
"AOCS_Stroma001 vs MGH_Tumor",1,978,90,0,0,0
"AOCS_Stroma001 vs AOCS_C1",1,978,400,85,8.69,21.25
"AOCS_Stroma001 vs C1vC2",0.00000234431896789247,978,343,118,12.07,34.4
"AOCS_Stroma001 vs C1vC4",1.28610855772538e-33,978,821,331,33.84,40.32
